name,isin,bse,nse,series,url
Ashnisha Indust,INE694W01024,541702,,,https://www.moneycontrol.com/india/stockpricequote/ashnishaindust/ashnishaindustrieslimited/ASHNI54170
Ashnoor Text,INE372I01018,507872,,,https://www.moneycontrol.com/india/stockpricequote/textileswoollenworsted/ashnoortextilemills/ATM
Ashok Leyland,INE208A01029,500477,ASHOKLEY,EQ,https://www.moneycontrol.com/india/stockpricequote/autolcvshcvs/ashokleyland/AL
Ashoka Buildcon,INE442H01029,533271,ASHOKA,EQ,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ashokabuildcon/AB
Ashoka Metcast ,INE760Y01011,540923,ASHOKAMET,EQ,https://www.moneycontrol.com/india/stockpricequote/diversified/ashokametcastlimited/AML04
Ashoka Refinery,INE760M01016,526983,,,https://www.moneycontrol.com/india/stockpricequote/ashokarefinery/ashokarefineries/AR
Ashtavinayak,INE538H01024,532793,SHREEASHTA,,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/shreeashtavinayakcinevision/SAC03
Ashutosh Paper ,INE723K01018,531568,,,https://www.moneycontrol.com/india/stockpricequote/paper/ashutoshpapermills/APM03
Asia Capital,INE131Q01011,538777,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asiacapital/AC28
Asia Pack,INE784M01016,530899,,,https://www.moneycontrol.com/india/stockpricequote/packaging/asiapack/AP16
Asian,INE04Z101016,543927,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asianwarehousing/AW02
Asian Energy,INE276G01015,530355,ASIANENE,EQ,https://www.moneycontrol.com/india/stockpricequote/oildrillingandexploration/asianenergyservices/AOS
Asian Flora Ltd,,531392,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asianflora/AFL01
Asian Granito,INE022I01019,532888,ASIANTILES,EQ,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/asiangranitoindia/AGI04
Asian Hotel (E),INE926K01017,533227,AHLEAST,EQ,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelseast/AHE01
Asian Hotel (W),INE915K01010,533221,AHLWEST,,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelswest/AHW
Asian Hotels,INE363A01022,500023,ASIANHOTNR,EQ,https://www.moneycontrol.com/india/stockpricequote/hotels/asianhotelsnorth/AH
Asian Paints,INE021A01026,500820,ASIANPAINT,EQ,https://www.moneycontrol.com/india/stockpricequote/paintsvarnishes/asianpaints/AP31
Asian Petro,INE810M01019,524434,,,https://www.moneycontrol.com/india/stockpricequote/asianpetro/asianpetroproductsexports/APE
Asian Star,INE194D01017,531847,,,https://www.moneycontrol.com/india/stockpricequote/diamondcuttingjewellerypreciousmetals/asianstar/AS15
Asian Tea Expo,INE822B01017,519532,,,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/asianteaexports/ATE
Asian Tea RE,INE822B20017,750678,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asianteaexportsre/ATE05
Asiatic Food,INE764C01019,531133,,,https://www.moneycontrol.com/india/stockpricequote/foodprocessing/asiaticfoodexports/AFE
Asit C Mehta,INE041B01014,530723,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asitcmehtafinancialservices/ACM05
Aspinwall,INE991I01015,,ASPINWALL,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aspinwallcompany/AC27
Aspira Pathlab ,INE500C01017,540788,,,https://www.moneycontrol.com/india/stockpricequote/aspirapathlab/aspirapathlabdiagnostics/APD
Aspire & Innova,INE0S7801010,ASPIREINNO,ASPIRE,SM,https://www.moneycontrol.com/india/stockpricequote/logistics/aspireinnovativeadvertising/AIAL
Assam,INE165G01010,542911,,,https://www.moneycontrol.com/india/stockpricequote/assam/assamentradelimited/ASSAM54291
Assam Company,INE442A01024,500024,ASSAMCO,,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/assamcompanyindia/AC12
Assoc Alcohol,INE073G01016,507526,ASALCBR,EQ,https://www.moneycontrol.com/india/stockpricequote/breweriesdistilleries/associatedalcoholbreweries/AAB
Assoc Rubber,INE233I01012,509110,,,https://www.moneycontrol.com/india/stockpricequote/rubber/associatedrubberindustries/ARI01
Assoc Stone,INE443A01030,502015,ASOCSTONE,,https://www.moneycontrol.com/india/stockpricequote/miningminerals/associatedstoneindustrieskotah/ASI01
Associated Cera,INE771E01010,531168,,,https://www.moneycontrol.com/india/stockpricequote/ceramicsgranite/associatedceramics/ACL03
Associated Coat,INE0RIQ01013,544183,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/associatedcoaters/ACL08
Astal  Lab,INE307N01014,512600,,,https://www.moneycontrol.com/india/stockpricequote/astallab/astallaboratories/MIE
Astec Life,INE563J01010,533138,ASTEC,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/asteclifesciences/AL13
Aster DM Health,INE914M01019,540975,ASTERDM,EQ,https://www.moneycontrol.com/india/stockpricequote/diversified/asterdmhealthcareltd/ADH
Astra Microwave,INE386C01029,532493,ASTRAMICRO,EQ,https://www.moneycontrol.com/india/stockpricequote/astramicrowave/astramicrowaveproducts/AMP01
AstraZeneca,INE203A01020,506820,ASTRAZEN,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/astrazenecapharma/AZP
Astral Ltd,INE006I01046,532830,ASTRAL,EQ,https://www.moneycontrol.com/india/stockpricequote/plastics/astrallimited/APT02
Astron Paper & ,INE646X01014,540824,ASTRON,BE,https://www.moneycontrol.com/india/stockpricequote/paper/astronpaperboardmillltd/APB
Asutosh Ent,INE508W01018,512433,,,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/asutoshenterprises/AEL
Asya Infosoft,INE520G01016,511144,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/asyainfosoft/SHF
Atal,INE0ALR01029,543911,ATALREAL,BE,https://www.moneycontrol.com/india/stockpricequote/constructioninfrastructure/atalrealtech/ARL
Atam Valves,INE09KD01013,543236,ATAM,EQ,https://www.moneycontrol.com/india/stockpricequote/engineeringindustrialequipments/atamvalves/AV02
Atharv Ent,INE354E01031,530187,,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/atharventerprises/AE14
Athena Constr,INE291R01011,539099,,,https://www.moneycontrol.com/india/stockpricequote/constructioncontractinghousing/athenaconstructions/AC21
Athena Global,INE576B01019,517429,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/athenaglobaltechnologies/VJIL
Atishay,INE011R01013,538713,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/atishay/AI19
Atlanta Devcon,INE590F01029,526843,,,https://www.moneycontrol.com/india/stockpricequote/leatherproducts/atlantadevcon/SGV
Atlanta Infra,INE433D01027,530479,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/atlantainfrastructurefinance/KS
Atlantaa,INE285H01022,532759,ATLANTAA,BE,https://www.moneycontrol.com/india/stockpricequote/atlantaa/atlantaa/A9
Atlas Cycles,INE446A01025,505029,ATLASCYCLE,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atlascycleindustries/ACI08
Atlas Jewellery,INE022N01019,514394,,,https://www.moneycontrol.com/india/stockpricequote/textileshosieryknitwear/atlasjewelleryindia/GEW
Atmastco,INE05DH01017,,ATMASTCO,ST,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/atmastco/AL15
Atul,INE100A01010,500027,ATUL,EQ,https://www.moneycontrol.com/india/stockpricequote/chemicals/atul/A06
Atul Auto,INE951D01028,531795,ATULAUTO,BE,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/atulauto/AA08
Aurangabad Dist,INE448V01019,0,AURDIS,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aurangabaddistillery/AD05
AurangabadPaper,INE525C01014,502352,,,https://www.moneycontrol.com/india/stockpricequote/paper/aurangabadpapermills/APM04
Aurionpro Solut,INE132H01018,532668,AURIONPRO,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurionprosolutions/PS12
Auro Impex,INE0NUL01018,0,AUROIMPEX,SM,https://www.moneycontrol.com/india/stockpricequote/chemicals/auroimpexchemicals/AIC01
Auro Labs,INE292C01011,530233,,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurolaboratories/AL06
Aurobindo Pharm,INE406A01037,524804,AUROPHARMA,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/aurobindopharma/AP
Auroma Coke Ltd,INE662I01012,531336,,,https://www.moneycontrol.com/india/stockpricequote/miningminerals/auromacoke/ACL06
Aurum PropTech ,IN9898S01027,0,AURUMPP1,E1,https://www.moneycontrol.com/india/stockpricequote/aurumproptech/aurumproptechpp1/APP05
Aurum Proptech,INE898S01029,539289,AURUM,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aurumproptech/M19
Aurum Soft,INE600D01021,530885,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/aurumsoftsystems/JS05
Ausom Enterp,INE218C01016,509009,AUSOMENT,BE,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/ausomenterprise/CE06
Austin Eng,INE759F01012,522005,,,https://www.moneycontrol.com/india/stockpricequote/bearings/austinengineeringcompany/AEC04
Austral Coke,INE455J01027,533016,AUSTRAL,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/australcokeprojects/ACP02
Authum Inv-RE,INE206F20014,750654,,,https://www.moneycontrol.com/india/stockpricequote/authuminvre/authuminvestmentinfrastructurere/AII02
Authum Invest,INE206F01022,539177,AIIL,EQ,https://www.moneycontrol.com/india/stockpricequote/authuminvest/authuminvestmentinfrastucture/AII01
Auto Pins(I),INE706C01028,531994,,,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autopinsi/API05
Auto Stampings,INE900C01027,520119,ASAL,EQ,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotivestampingsassemblies/ASA01
Autoline Ind,INE718H01014,532797,AUTOIND,EQ,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autolineindustries/AI59
Autolite India,INE448A01013,500029,AUTOLITIND,,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autoliteindia/AI31
Automobile Prod,INE0NY101012,505032,,,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/automobileproductsindia/API06
Automotive Axle,INE449A01011,505010,AUTOAXLES,EQ,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/automotiveaxles/AA06
Autopal,INE335Q01018,517286,AUTOPALIND,,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/autopalindustries/AI32
Autoriders Fin,INE450A01019,500030,AUTORIDFIN,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/autoridersfinance/AF20
Autoriders Intl,INE340U01010,512277,,,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/autoridersinternational/AIL01
Avadh Sugar ,INE349W01017,540649,AVADHSUGAR,EQ,https://www.moneycontrol.com/india/stockpricequote/sugar/avadhsugarenergy/ASE03
Avalon Tech,INE0LCL01028,543896,AVALON,EQ,https://www.moneycontrol.com/india/stockpricequote/electronicscomponents/avalontechnologies/AT27
Avance Tech,INE758A01072,512149,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/avancetechnologies/AT18
Avantel,INE005B01027,532406,AVANTEL,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/avantel/A19
Avanti Feeds,INE871C01038,512573,AVANTIFEED,EQ,https://www.moneycontrol.com/india/stockpricequote/aquaculture/avantifeeds/AF21
Avasara Finance,INE759D01017,511730,,,https://www.moneycontrol.com/india/stockpricequote/avasarafinance/avasarafinance/TRC
Aveer Foods,INE09BN01011,543737,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aveerfoods/AF33
Avenue Supermar,INE192R01011,540376,DMART,EQ,https://www.moneycontrol.com/india/stockpricequote/retail/avenuesupermarts/AS19
Aviva Ind,INE461H01011,512109,,,https://www.moneycontrol.com/india/stockpricequote/trading/avivaindustries/AI55
Avon Corp,INE207I01016,532995,,,https://www.moneycontrol.com/india/stockpricequote/engineering/avoncorporation/AC10
Avonmore Cap,INE323B01024,511589,AVONMORE,BE,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/avonmorecapitalmanagementservices/AC19
Avro India,INE652Z01017,543512,AVROIND,EQ,https://www.moneycontrol.com/india/stockpricequote/avroindia/avroindia/AM09
Awfis Space Sol,INE108V01019,544181,AWFIS,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/awfisspacesolutions/ASS01
Axel Polymers,INE197C01012,513642,,,https://www.moneycontrol.com/india/stockpricequote/plastics/axelpolymers/AP24
Axis Bank,INE238A01034,532215,AXISBANK,EQ,https://www.moneycontrol.com/india/stockpricequote/banksprivatesector/axisbank/AB16
Axis Gold ETF,INF846K01W80,533570,AXISGOLD,EQ,https://www.moneycontrol.com/india/stockpricequote/axisgoldetf/axismutualfundgoldetf/AMF02
Axiscades Tech,INE555B01013,532395,AXISCADES,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axiscadestechnologies/AXI
Axita Cotton ,INE02EZ01022,542285,AXITA,EQ,https://www.moneycontrol.com/india/stockpricequote/textilescottonblended/axitacotton/AC29
Axon Finance,INE663D01011,505506,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/axonfinance/AI47
Axtel Ind,INE767C01012,523850,,,https://www.moneycontrol.com/india/stockpricequote/engineering/axtelindustries/AI62
Azad Eng,INE02IJ01035,544061,AZAD,EQ,https://www.moneycontrol.com/india/stockpricequote/aerospacedefence/azadengineering/AEL02
Aztec Fluids,INE0SCB01016,544177,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aztecfluidsmachinery/AFML
Azure Exim Serv,INE837F01016,531783,,,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/azureeximservices/HC09
B C Power Contr,INE905P01028,537766,BCP,,https://www.moneycontrol.com/india/stockpricequote/cablespowerothers/bcpowercontrols/PC13
B J Duplex,INE265C01025,531647,,,https://www.moneycontrol.com/india/stockpricequote/paper/bjduplexboards/BJD
B Nanji Ent,INE735G01010,526594,,,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/bnanjienterprises/BNE
B P Capital,INE947C01010,536965,,,https://www.moneycontrol.com/india/stockpricequote/financegeneral/bpcapital/BPC01
B Right Realest,INE0IZQ01016,543543,,,https://www.moneycontrol.com/india/stockpricequote/constructionrealestate/brightrealestate/RR10
B and A,INE489D01011,508136,,,https://www.moneycontrol.com/india/stockpricequote/plantationsteacoffee/ba/BA06
B&A Packaging,INE00FM01013,523186,,,https://www.moneycontrol.com/india/stockpricequote/bapackaging/bapackagingindia/BAM01
B&B Triplewall ,INE01EE01011,543668,BBTCL,EQ,https://www.moneycontrol.com/india/stockpricequote/bbtriplewall/bbtriplewallcontainers/BTC
B. N. Rathi,INE710D01010,523019,,,https://www.moneycontrol.com/india/stockpricequote/bnrathi/bnrathisecurities/BNR
B2B Software,INE151B01011,531268,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/b2bsoftwaretechnologies/RFS
BAG Films,INE116D01028,532507,BAGFILMS,BE,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bagfilmsmedia/BAG
BALKRI-RE,INE875R20011,750842,BALKRI-RE,,https://www.moneycontrol.com/india/stockpricequote/paperpaperproducts/balkrishnapapermillsre/BPM01
BALMLAWRIE,INE164A01016,523319,BALMLAWRIE,EQ,https://www.moneycontrol.com/india/stockpricequote/balmlawrie/balmerlawrieco/BLC
BAMPSL Sec,INE802A01037,531591,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bampslsecurities/BAM
BANASFN-RE,INE521L20014,750719,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/banasfinancere/BFR
BANKBEES,INF204KB15I9,590106,BANKBEES,EQ,https://www.moneycontrol.com/india/stockpricequote/bankbees/nipponindiaetfniftybankbees/BAM02
BANKBETF,INF0QA701714,,BANKBETF,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bankbetf/BANKB21986
BANKETF,INF769K01KR3,,BANKETF,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/banketf/BANKE17419
BANKNIFTY1,INF174K01F59,,BANKNIFTY1,EQ,https://www.moneycontrol.com/india/stockpricequote/banknifty1/kotakniftybanketf/KMM03
BANNARI AMMA-RE,INE186H20014,750668,,,https://www.moneycontrol.com/india/stockpricequote/textilespinning/bannariammanspinningmillsre/BAS02
BARTRONICS IND,INE855F01042,,ASMS,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bartronicsindia/ASMS14867
BASF,INE373A01013,500042,BASF,EQ,https://www.moneycontrol.com/india/stockpricequote/chemicals/basfindia/BAS
BB ETF-April 25,INF754K01LD3,543215,EBBETF0425,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatbondetfapril2025/BBE01
BB ETF-April 31,INF754K01LE1,543216,EBBETF0431,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bharatbondetfapril2031/BBE
BBETF0432,INF754K01OB1,543418,BBETF0432,EQ,https://www.moneycontrol.com/india/stockpricequote/etf/bharatbondetfapril2032/BBE02
BBNPNBETF,INF251K01TL6,,BBNPNBETF,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bbnpnbetf/BBNPN24117
BBNPPGOLD,INF251K01SU9,,BBNPPGOLD,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bbnppgold/BBNPP20547
BCC Fuba,INE788D01016,517246,,,https://www.moneycontrol.com/india/stockpricequote/electricals/bccfubaindia/BCC
BCIL-RE,INE414D20019,750708,BCIL-RE,,https://www.moneycontrol.com/india/stockpricequote/chemicals/bhagiradhachemicalsindustriesre/BCI05
BCL Enterprises,INE368E01023,539621,,,https://www.moneycontrol.com/india/stockpricequote/financehousing/bclenterprises/BCL08
BCL Industries,INE412G01024,524332,BCLIND,EQ,https://www.moneycontrol.com/india/stockpricequote/vanaspatioils/bclindustries/BC06
BCPL Railway In,INE00SW01015,542057,,,https://www.moneycontrol.com/india/stockpricequote/transportlogistics/bcplrailwayinfrastructure/BRI02
BDH Industries,INE278D01018,524828,,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bdhindustries/BDH
BEARD-RE,INE520H20014,750690,BEARD-RE,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/beardsellre/BR03
BEML,INE258A01016,500048,BEML,EQ,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/beml/BEM03
BEW Eng.,INE0HQI01014,0,BEWLTD,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bewengineering/BE10
BF Investment,INE878K01010,533303,BFINVEST,EQ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bfinvestment/BFI
BF Utilities,INE243D01012,532430,BFUTILITIE,EQ,https://www.moneycontrol.com/india/stockpricequote/powergenerationdistribution/bfutilities/BFU
BFL Asset Finve,INE948Q01018,539662,,,https://www.moneycontrol.com/india/stockpricequote/bflassetfinve/bflassetfinvest/BFL03
BGIL Films,INE443D01018,511664,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bgilfilmstechnologies/BGI02
BGJL-RE,INE986W20016,750790,,,https://www.moneycontrol.com/india/stockpricequote/diamondjewellery/bhaktigemsjewelleryre/BGJ02
BGR Energy,INE661I01014,532930,BGRENERGY,BE,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bgrenergysystems/BES
BHANDA-RE,INE474E20011,750809,BHANDA-RE,,https://www.moneycontrol.com/india/stockpricequote/textiles/bhandarihosieryexportsre/BHE03
BHANDA-RE1,INE474E20029,0,BHANDA-RE1,,https://www.moneycontrol.com/india/stockpricequote/textilesapparel/bhandarihosieryexportsre1/BHE04
BHEL,INE257A01026,500103,BHEL,EQ,https://www.moneycontrol.com/india/stockpricequote/infrastructuregeneral/bharatheavyelectricals/BHE
BIL,INE374E01021,542669,,,https://www.moneycontrol.com/india/stockpricequote/bil/bmwindustrieslimited/BMW54266
BIL Continental,INE151F01012,530841,,,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/bilcontinental/BI07
BILLWIN-RE,INE0CRS20012,750860,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/billwinindustriesre/BIR01
BILNCD 5.5%2024,INE216A08027,937561,,,https://www.moneycontrol.com/india/stockpricequote/consumerfood/britannia5503062024ncd/B09
BITS,INE839A01021,526709,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaretraining/bits/BIT
BKV Industries,INE356C01022,519500,,,https://www.moneycontrol.com/india/stockpricequote/aquaculture/bkvindustries/BKV
BL Kashyap,INE350H01032,532719,BLKASHYAP,EQ,https://www.moneycontrol.com/india/stockpricequote/blkashyap/blkashyapsons/BLK
BLACK BOX,INE676A01027,500463,BBOX,BE,https://www.moneycontrol.com/india/stockpricequote/computerssoftware/blackbox/AGC
BLAL,INE0N7W01012,543898,BLAL,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bemllandassets/BLA
BLB,INE791A01024,532290,BLBLIMITED,BE,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/blb/BLB
BLS E-Services,INE0NLT01010,544107,BLSE,EQ,https://www.moneycontrol.com/india/stockpricequote/onlineservices/blseservices/BEL
BLS Infotech,INE606B01022,531175,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/blsinfotech/BI26
BLS Internation,INE153T01027,540073,BLS,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/blsinternationalservices/BLS
BMB Music,INE644K01016,531420,,,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/bmbmusicmagnetics/BMB01
BN HOLDINGS,INE00HZ01011,526125,,,https://www.moneycontrol.com/india/stockpricequote/edibleoilssolventextraction/bnholdings/AT09
BN Rathi Se. RE,INE710D20010,750689,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestment/bnrathisecuritiesre/BRS
BNR Udyog,INE355C01016,530809,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bnrudyog/BNR01
BOMDYEING,INE032A01023,500020,BOMDYEING,EQ,https://www.moneycontrol.com/india/stockpricequote/bomdyeing/thebombaydyeingco/BDM
BPCL,INE029A01011,500547,BPCL,EQ,https://www.moneycontrol.com/india/stockpricequote/refineries/bharatpetroleumcorporation/BPC
BPL,INE110A01019,500074,BPL,BE,https://www.moneycontrol.com/india/stockpricequote/consumergoodselectronic/bpl/BPL
BPPL-RE,INE875N20010,750798,,,https://www.moneycontrol.com/india/stockpricequote/hospitalhealthcareservices/bandarampharmapacktechre/BPP
BROOKS-RE,INE650L20011,750803,BROOKS-RE,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticalsdrugs/brookslaboratoriesre/BLR
BS Limited,INE043K01029,533276,BSLIMITED,,https://www.moneycontrol.com/india/stockpricequote/powertransmissionequipment/bslimited/BT
BSE Limited,INE118H01025,0,BSE,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/bselimited/B08
BSE500IETF,INF109KC1V59,541313,BSE500IETF,EQ,https://www.moneycontrol.com/india/stockpricequote/bse500ietf/iciciprudentialbse500etf/ICICI3001
BSEL ALGO,INE395A01016,532123,BSELINFRA,,https://www.moneycontrol.com/india/stockpricequote/bselalgo/bselalgo/BSE02
BSL,INE594B01012,514045,BSL,EQ,https://www.moneycontrol.com/india/stockpricequote/textilesweaving/bsl/BSL
BSLSENETFG,INF209KB1119,540008,BSLSENETFG,EQ,https://www.moneycontrol.com/india/stockpricequote/bslsenetfg/adityabirlasunlifebsesensexetf/ABS01
BWL,,504643,,,https://www.moneycontrol.com/india/stockpricequote/cablestelephone/bwl/BWL
Baba Arts,INE893A01036,532380,,,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/babaarts/GM01
Baba Food Proce,INE0QW501012,BABAFOOD,BABAFP,SM,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/babafoodprocessingindia/BFP01
Bacil Pharma,INE711D01018,524516,,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bacilpharma/BP
Bafna Pharma,INE878I01022,532989,BAFNAPH,BE,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/bafnapharmaceuticals/BP01
Baheti,INE029Q01017,0,BAHETI,SM,https://www.moneycontrol.com/india/stockpricequote/aluminiumaluminiumproducts/bahetirecyclingindustries/BRI03
Baid Finserv,INE020D01022,511724,BAIDFIN,EQ,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/baidfinserv/BLF
Bajaj Auto,INE917I01010,532977,BAJAJ-AUTO,EQ,https://www.moneycontrol.com/india/stockpricequote/auto23wheelers/bajajauto/BA10
Bajaj Consumer ,INE933K01021,533229,BAJAJCON,EQ,https://www.moneycontrol.com/india/stockpricequote/personalcare/bajajconsumercare/BC02
Bajaj Electric,INE193E01025,500031,BAJAJELEC,EQ,https://www.moneycontrol.com/india/stockpricequote/domesticappliances/bajajelectricals/BE
Bajaj Finance,INE296A01024,500034,BAJFINANCE,EQ,https://www.moneycontrol.com/india/stockpricequote/bajajfinance/bajajfinance/BAF
Bajaj Finserv,INE918I01026,532978,BAJAJFINSV,EQ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajfinserv/BF04
Bajaj Global,INE553H01015,512261,,,https://www.moneycontrol.com/india/stockpricequote/trading/bajajglobal/BGL
Bajaj Health,INE411U01027,539872,BAJAJHCARE,EQ,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/bajajhealthcare/BHL
Bajaj Hindustha,INE306A01021,500032,BAJAJHIND,EQ,https://www.moneycontrol.com/india/stockpricequote/sugar/bajajhindusthansugar/BH06
Bajaj Holdings,INE118A01012,500490,BAJAJHLDNG,EQ,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajajholdingsinvestment/BHI
Bajaj Steel,INE704G01024,507944,,,https://www.moneycontrol.com/india/stockpricequote/packaging/bajajsteelindustries/BSI01
Bajel Projects,INE0KQN01018,544042,BAJEL,EQ,https://www.moneycontrol.com/india/stockpricequote/engineeringconstruction/bajelprojects/BP06
Bajrang Finance,INE507J01017,511139,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/bajrangfinance/BF
Bal Pharma,INE083D01012,524824,BALPHARMA,EQ,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/balpharma/BP02
Bala Techno,INE652B01026,511395,,,https://www.moneycontrol.com/india/stockpricequote/financeleasinghirepurchase/balatechnoglobal/BTG
Bala Techno Ind,INE653B01016,514199,,,https://www.moneycontrol.com/india/stockpricequote/textilesgeneral/balatechnoindustries/BTI02
Balaji Amines,INE050E01027,530999,BALAMINES,EQ,https://www.moneycontrol.com/india/stockpricequote/chemicals/balajiamines/BA05
Balaji Telefilm,INE794B01026,532382,BALAJITELE,EQ,https://www.moneycontrol.com/india/stockpricequote/mediaentertainment/balajitelefilms/BT06
Balasore Alloys,INE135A01024,513142,ISPATALLOY,,https://www.moneycontrol.com/india/stockpricequote/steelmediumsmall/balasorealloys/BA9
Balaxi Pharma,INE618N01022,,BALAXI,EQ,https://www.moneycontrol.com/india/stockpricequote/trading/balaxipharmaceuticals/TAR
Balgopal Commer,INE119R01014,539834,,,https://www.moneycontrol.com/india/stockpricequote/balgopalcommer/balgopalcommercial/BC18
Balkrishna ,INE875R01011,539251,BALKRISHNA,EQ,https://www.moneycontrol.com/india/stockpricequote/paper/balkrishnapapermills/NPM01
Balkrishna Ind,INE787D01026,502355,BALKRISIND,EQ,https://www.moneycontrol.com/india/stockpricequote/tyres/balkrishnaindustries/BI03
