name,isin,bse,nse,series,url
AIK Pipes,INE0QFT01015,544072,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aikpipesandpolymers/APA
AION-TECH,INE805A01014,531439,GOLDTECH,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/aiontechsolutions/GT04
AJEL,INE229B01015,530713,,,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/ajel/AI64
AJOONI-RE1,INE820Y20021,0,AJOONI-RE1,BE,https://www.moneycontrol.com/india/stockpricequote/ajoonire1/ajoonibiotechre1/ABR01
AJR Infra & Tol,INE181G01025,532959,AJRINFRA,,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/ajrinfratolling/GIP01
AKG Exim,INE00Y801016,0,AKG,EQ,https://www.moneycontrol.com/india/stockpricequote/akgexim/akgexim/AE20
AKI India,INE642Z01026,542020,AKI,EQ,https://www.moneycontrol.com/india/stockpricequote/akiindia/akiindia/AI80
ALAN-RE,INE273F20014,750795,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alanscottindustriesre/ASI05
ALLSEC Tech,INE835G01018,532633,ALLSEC,EQ,https://www.moneycontrol.com/india/stockpricequote/computerssoftwaremediumsmall/allsectechnologies/ALL01
ALPHA,INF174KA1IA5,0,ALPHA,EQ,https://www.moneycontrol.com/india/stockpricequote/alpha/kotakniftyalpha50etf/KNA
ALPHAETF,INF769K01KU7,,ALPHAETF,EQ,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/alphaetf/ALPHA19640
AMAL-RE,INE841D20013,750771,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/amalre/AR11
AMD Industries,INE005I01014,532828,AMDIND,EQ,https://www.moneycontrol.com/india/stockpricequote/packaging/amdindustries/AMD02
AMERISE BIO,INE673C01020,531681,,,https://www.moneycontrol.com/india/stockpricequote/amerisebio/amerisebiosciences/AI53
AMI Organics,INE00FF01017,543349,AMIORG,EQ,https://www.moneycontrol.com/india/stockpricequote/specialitychemicals/amiorganics/AO05
AMIC Forging,INE0P9J01013,544037,,,https://www.moneycontrol.com/india/stockpricequote/autoancillariescastingsforgings/amicforging/AFL02
AMJ Land ,INE606A01024,500343,AMJLAND,BE,https://www.moneycontrol.com/india/stockpricequote/paper/amjland/PPP
AMS POLYMERS,INE345U01019,540066,,,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/amspolymerslimited/SMA02
AMSL,INE025R01021,542919,ARTEMISMED,EQ,https://www.moneycontrol.com/india/stockpricequote/hospitalsmedicalservices/artemismedicareservices/ARTEM54291
ANDHRSUGAR,INE715B01021,590062,ANDHRSUGAR,EQ,https://www.moneycontrol.com/india/stockpricequote/andhrsugar/theandhrasugar/AS18
ANG Industries,INE017D01010,530721,ANGIND,,https://www.moneycontrol.com/india/stockpricequote/autoancillaries/angindustries/ANG
ANG Lifescience,INE236W01016,540694,,,https://www.moneycontrol.com/india/stockpricequote/pharmaceuticals/anglifesciencesindia/ALI
ANI Integrated ,INE635Y01015,0,AISL,SM,https://www.moneycontrol.com/india/stockpricequote/engineering/aniintegratedservices/AIS02
ANS Industries,INE234J01018,531406,,,https://www.moneycontrol.com/india/stockpricequote/ansindustries/ansindustries/ANS
ANZEN,INE0MIZ23019,,ANZEN,IV,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/anzen/ANZEN11945
APCL-RE,INE071F20012,750748,APCL-RE,,https://www.moneycontrol.com/india/stockpricequote/cement/anjaniportlandcementre/APC01
APL,INE490Z01012,542865,,,https://www.moneycontrol.com/india/stockpricequote/apl/anurooppackaginglimited/ANURO54286
APL Apollo,INE702C01027,533758,APLAPOLLO,EQ,https://www.moneycontrol.com/india/stockpricequote/steeltubespipes/aplapollotubes/BT09
APLAB RE,INE273A20015,750663,,,https://www.moneycontrol.com/india/stockpricequote/telecommunicationequipment/aplabre/AR10
APM Industries,INE170D01025,523537,,,https://www.moneycontrol.com/india/stockpricequote/textilesspinningsyntheticblended/apmindustries/APM
APS India,INE0RCG01017,APSINDIA,APS,ST,https://www.moneycontrol.com/india/stockpricequote/apsindia/australianpremiumsolarindia/APSIL
APTUS VALUE,INE852O01025,543335,APTUS,EQ,https://www.moneycontrol.com/india/stockpricequote/financehousing/aptusvaluehousingfinanceindia/AVH
ARC Finance,INE202R01026,540135,,,https://www.moneycontrol.com/india/stockpricequote/financegeneral/arcfinance/ARC01
ARCL Organics,INE372M01010,543993,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/arclorganics/AO06
ARSS Infra,INE267I01010,533163,ARSSINFRA,BE,https://www.moneycontrol.com/india/stockpricequote/constructioncontractingcivil/arssinfrastructureprojects/AIP
ARUNIS ABODE,INE377D01018,526935,,,https://www.moneycontrol.com/india/stockpricequote/financeinvestments/arunisabode/MBP
AS&SBL,INE016X01010,542176,,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/aryansharestockbrokerslt/ARYAN54217
ASCOM,INE08KD01015,,ASCOM,ST,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/ascom/ASCOM15030
ASHNOOR-RE,INE372I20018,750858,,,https://www.moneycontrol.com/india/stockpricequote/ashnoorre/ashnoortextilemillsre/ATM01
ASIAN GRANI RE,INE022I20019,750669,ASIAN-RE,,https://www.moneycontrol.com/india/stockpricequote/miscellaneous/asiangranitoindiare/AGI05
