symbol,isin,exchange,date,open,high,low,close,volume,year,month,day,ym
ALLSEC TECH ,532633,BSE,2021-12-14,518.0,526.9,514.45,523.35,1004,2021,12,14,202112
IIFL        ,532636,BSE,2021-12-14,305.0,313.6,303.45,312.4,111351,2021,12,14,202112
MAN DRUGORG ,532637,BSE,2021-12-14,124.5,126.2,122.0,122.3,3277,2021,12,14,202112
SHOPPER STOP,532638,BSE,2021-12-14,368.65,370.8,358.1,360.55,3901,2021,12,14,202112
CYBER MEDIA ,532640,BSE,2021-12-14,10.8,10.8,10.08,10.22,1681,2021,12,14,202112
NDL         ,532641,BSE,2021-12-14,108.65,121.3,107.2,120.6,94107,2021,12,14,202112
JSWHL       ,532642,BSE,2021-12-14,4241.75,4247.0,4227.8,4231.9,7,2021,12,14,202112
JK CEMENT   ,532644,BSE,2021-12-14,3403.6,3560.5,3401.05,3479.45,1688,2021,12,14,202112
BEEYU OVERSE,532645,BSE,2021-12-14,1.12,1.12,1.12,1.12,15393,2021,12,14,202112
YES BANK    ,532648,BSE,2021-12-14,13.79,14.19,13.68,13.92,29196293,2021,12,14,202112
NECTAR LIFE ,532649,BSE,2021-12-14,27.0,27.6,26.35,27.0,40372,2021,12,14,202112
MSP STEEL   ,532650,BSE,2021-12-14,10.43,11.0,10.0,10.11,216016,2021,12,14,202112
SPL INDS    ,532651,BSE,2021-12-14,44.85,45.95,44.3,44.45,2355,2021,12,14,202112
KARNATAKA BK,532652,BSE,2021-12-14,67.5,67.75,66.25,66.5,108824,2021,12,14,202112
MCLEOD RUSSE,532654,BSE,2021-12-14,28.8,28.85,27.55,27.85,261358,2021,12,14,202112
FACOR ALLOYS,532656,BSE,2021-12-14,6.53,6.53,5.99,5.99,984575,2021,12,14,202112
IDFC        ,532659,BSE,2021-12-14,53.8,54.75,52.55,53.9,371506,2021,12,14,202112
VIVIMED LABS,532660,BSE,2021-12-14,18.8,22.6,18.8,22.6,1258847,2021,12,14,202112
RANE MADRAS ,532661,BSE,2021-12-14,357.05,357.95,349.1,350.5,1608,2021,12,14,202112
HT MEDIA    ,532662,BSE,2021-12-14,26.55,28.65,25.8,27.8,150721,2021,12,14,202112
SASKEN      ,532663,BSE,2021-12-14,1170.0,1187.0,1128.0,1164.85,5053,2021,12,14,202112
FCS SOFTWARE,532666,BSE,2021-12-14,3.02,3.02,3.02,3.02,3072354,2021,12,14,202112
SUZLONENERGY,532667,BSE,2021-12-14,7.45,7.55,7.2,7.31,13534008,2021,12,14,202112
AURIONPRO SO,532668,BSE,2021-12-14,260.0,278.65,260.0,265.3,24905,2021,12,14,202112
RENUKA SUGAR,532670,BSE,2021-12-14,30.0,32.3,30.0,31.15,2059693,2021,12,14,202112
KM SUGARMILL,532673,BSE,2021-12-14,28.0,28.0,26.5,26.8,38908,2021,12,14,202112
BANNARI AMMA,532674,BSE,2021-12-14,77.05,77.05,74.15,75.35,26660,2021,12,14,202112
PBA INFRASTR,532676,BSE,2021-12-14,15.0,15.0,14.15,14.41,6600,2021,12,14,202112
BOMBAY RAYON,532678,BSE,2021-12-14,7.49,7.5,6.8,7.25,280690,2021,12,14,202112
SORILINFRA  ,532679,BSE,2021-12-14,107.9,108.65,105.4,107.0,5520,2021,12,14,202112
AIAENGINEER ,532683,BSE,2021-12-14,1851.1,1852.45,1825.1,1830.55,544,2021,12,14,202112
EVEREST KANT,532684,BSE,2021-12-14,170.85,180.35,169.85,180.35,267774,2021,12,14,202112
KERNEX MICRO,532686,BSE,2021-12-14,84.8,84.9,82.0,84.0,6127,2021,12,14,202112
REPRO INDIA ,532687,BSE,2021-12-14,585.3,588.75,568.0,572.55,139,2021,12,14,202112
PVR LTD     ,532689,BSE,2021-12-14,1442.0,1442.0,1405.65,1424.75,35454,2021,12,14,202112
RADHA MADHAV,532692,BSE,2021-12-14,2.3,2.3,2.19,2.27,118040,2021,12,14,202112
PUNJ LLOYD  ,532693,BSE,2021-12-14,2.93,2.96,2.85,2.96,798422,2021,12,14,202112
BARTRONICSIN,532694,BSE,2021-12-14,5.28,5.48,5.28,5.48,12694,2021,12,14,202112
CELEBRITYFAS,532695,BSE,2021-12-14,15.8,16.07,14.84,16.07,40445,2021,12,14,202112
EDUCOMP SOLN,532696,BSE,2021-12-14,3.44,3.44,3.44,3.44,3963,2021,12,14,202112
